Wavelength,Ethanol_1,Ethanol_2,Ethanol_3,1:0_1,1:0_2,1:0_3,.9:.1_1,.9:.1_3,0.7:0.3_1,0.7:0.3_2,0.7:0.3_3,0.5:0.5_1,0.5:0.5_2,0.5:0.5_3,0.3:0.7_1,0.3:0.7_2,0.3:0.7_3,0.1:0.9_1,0.1:0.9_2,0.1:0.9_3,0:1_1,0:1_2,0:1_3
468.0499878,0.248986885,0.275633961,0.083597362,1.049525619,0.833003759,1.063838959,0.697775066,1.057064652,5.847306728,4.968623638,5.813750744,9.855127335,8.780521393,9.775874138,6.22878027,5.463683128,6.831709862,3.88261199,3.882760763,3.256024599,0.597775221,1.075119615,1.14391458
468.9500122,0.059260763,0.081879966,0.269769311,1.091051579,0.870182276,0.873920202,0.966840029,0.950819135,6.303588867,6.445584297,6.95434761,9.49865818,10.09561062,9.895815849,5.770626068,7.827871323,6.963470459,3.52453351,3.829943419,4.801527977,0.782505572,0.800464392,0.868764877
470,0.20976086,0.091719404,0.252529651,1.134773612,0.882286251,0.943451345,0.820933819,1.220497489,7.10943079,7.18103838,7.073059559,12.30202866,10.43720341,11.71293068,7.11844635,8.120178223,7.949383736,4.842490673,4.034763813,4.359961033,1.087643862,0.735194743,0.723109365
471.0599976,0.343453765,0.082973786,0.189063534,1.070291162,1.187668681,0.864163756,0.965657711,0.768178046,7.813094139,6.791938305,6.744009495,13.23036575,11.53212547,13.65681362,8.474575996,9.123882294,8.325725555,4.574581623,4.386043549,5.076230049,0.769205034,0.647800863,0.754218161
471.9599915,0.267050296,0.008519557,0.051174019,1.011786342,1.192451715,0.985188544,1.157643914,1.361228466,8.09471035,7.987220764,8.569722176,14.42565632,14.312994,13.06667805,10.32211685,9.136685371,9.402534485,5.532019138,5.447245121,6.371669292,0.680060744,0.941176474,0.871095479
473.0299988,0.225256443,0.208007455,0.111466467,1.013887644,1.470072269,1.069696903,1.00934279,1.23017323,8.059253693,8.381889343,8.362771034,16.06032372,15.48611069,16.28264809,10.34755421,9.075559616,9.997136116,6.323898315,6.090847492,5.532308578,0.741233647,0.723545373,0.904617786
473.9299927,0.163394481,0.139386535,0.086092599,1.135248184,0.988735259,0.987378776,1.410462379,1.066282988,10.20373821,9.408773422,9.608322144,17.04678535,16.63627052,18.181036,10.84763432,12.43818378,11.56128407,7.101276398,6.210428238,6.066603661,1.002405763,0.68421942,1.123450875
475,0.266907752,0.133425623,0.242918491,1.21466434,0.832401454,1.258267999,1.121553779,1.601184487,10.63163948,10.92486382,12.29501152,19.00575829,20.84009361,19.76493454,12.03324032,12.89586353,11.93719292,7.66381216,6.336456299,6.37138319,0.804154217,0.833555579,0.791974664
476.0599976,0.121614344,0.20819974,0.190063149,1.147812843,1.106362939,1.070323586,1.119801641,1.310365796,12.95360851,11.97243309,12.26296616,20.22732925,20.46811104,21.53216553,12.95539665,15.24734879,14.07449913,7.31694746,7.75840807,7.116425037,0.880746841,0.610122979,0.583450317
476.9599915,0.162033081,0.115621261,0.140442044,1.133023739,1.075709462,1.250999928,1.192585588,1.015526772,11.95528126,12.03485107,12.50704288,21.99477959,25.20327187,21.57588768,15.74714661,14.64749813,15.8248415,8.138413429,8.03226757,7.391978264,0.821072578,0.618110657,0.767724514
