Wavelength,Ethanol_2.5_5,Ethanol_5_5,Ethanol_5_10,0_Hg_2.5_5,0_Hg_5_5,0_Hg_5_10,0.001_Hg_2.5_5,0.001_Hg_5_5,0.001_Hg_5_10,0.0025_Hg_2.5_5,0.0025_Hg_5_5,0.0025_Hg_5_10,0.004_Hg_2.5_5,0.004_Hg_5_5,0.004_Hg_5_10,0.006_Hg_2.5_5,0.006_Hg_5_5,0.006_Hg_5_10,0.0125_Hg_2.5_5,0.0125_Hg_5_5,0.0125_Hg_5_10,0.013_Hg_2.5_5,0.013_Hg_5_5,0.013_Hg_5_10,0.016_Hg_2.5_5,0.016_Hg_5_5,0.016_Hg_5_10,0.0175_Hg_2.5_5,0.0175_Hg_5_5,0.0175_Hg_5_10,0.008_Hg_2.5_5,0.008_Hg_5_5,0.008_Hg_5_5,0.009_Hg_2.5_5,0.009_Hg_5_5,0.009_Hg_5_10
438.0299988,0.780443609,6.782170773,209.5910645,0.773159862,16.17721748,498.74646,1.265384912,18.46359253,646.2246094,0.745188415,15.13427639,308.8534546,0.948733866,15.58403206,576.5357666,1.129397869,18.69434738,637.600769,0.469793975,8.293807983,298.0706482,0.56176573,15.45445156,459.1100159,1.0733006,14.00061226,348.3806152,0.71326679,10.88619137,233.6486359,1.123134971,11.31567669,328.7294617,0.646624208,11.0460453,331.8569641
438.9299927,0.393088311,3.543533325,136.2650757,0.779513717,6.814067841,340.8979797,0.808212102,7.640207291,425.6584778,1.002488613,6.334806442,199.7381592,1.628139615,7.574594498,381.7915649,0.912856102,8.968429565,421.6369019,0.978600681,4.368546486,198.0362396,1.238765836,6.905932903,315.6165466,0.667833269,7.381450176,221.4240723,0.587952793,5.790399551,157.1699066,0.878690124,5.190311432,228.227951,0.884887338,5.114046097,223.8873901
440,0.461947113,2.10994482,70.86604309,0.883741677,3.069194555,179.7356873,0.738322198,4.229423046,218.2372437,0.542164028,3.411440849,105.1443787,1.140260816,4.164942265,200.3262177,0.667644799,4.532437801,222.2893677,0.639590681,3.239549875,106.2486954,0.726069987,4.367186069,169.5796814,0.555318236,4.749036312,106.7087326,0.768857896,3.658770084,83.77594757,1.249748349,3.727058649,118.6664429,0.984762549,4.006283283,121.7796021
441.0700073,0.394662201,1.629125953,32.20715714,0.75164628,2.581358194,91.68624878,0.859575152,3.606625319,102.3190384,0.845994175,2.842509508,51.48269653,0.678380013,3.496206999,98.47137451,0.817855418,3.54199791,106.3396912,0.591751039,3.30577445,53.54839325,0.566595554,5.292906761,86.02264404,0.685939074,4.093935013,50.42309952,0.786931932,3.421472073,44.3079834,0.619689107,2.94187808,61.16252899,0.889702737,3.738672733,63.66026306
442,0.304893524,1.400514841,16.70896912,0.634915412,2.36257267,42.88438416,0.664617419,3.348324299,45.8291626,0.874853432,2.964426756,25.68273354,1.054992557,2.732876062,44.25259018,0.750494063,3.013784647,50.68606567,0.532233954,3.322414637,28.66156006,0.562955856,4.522174358,41.15824509,0.48477149,4.081223011,27.82218361,0.462004274,4.052305698,25.3887825,0.963293433,3.013593674,32.89246368,0.552519023,3.544444323,30.00315285
443.0700073,0.503524661,1.498882294,10.01861572,0.301381469,2.696359634,19.88925934,0.961506307,2.619292974,21.53164673,0.585618258,2.79455018,13.55664539,0.710541904,3.285593748,21.24706459,0.258604884,3.983284712,22.55347061,0.693255723,2.845416546,16.96736145,0.81528455,3.748569727,21.8565979,0.654983342,3.803267479,19.05139732,0.630585015,3.248472214,15.17062759,0.540517747,2.916053534,18.70162582,0.347656786,3.305294514,17.4314518
444,0.182622626,1.15717411,7.125793934,0.365402997,2.893669128,13.11138153,0.629532635,2.421759844,14.25876522,0.554357886,3.275350332,9.969991684,0.711755812,2.903446674,13.61297226,0.704970062,3.121625662,15.56374454,0.846740007,3.32000947,15.39003944,0.658632934,4.340468407,16.58164215,0.597552598,3.786800385,15.87141132,0.798648179,3.571733475,13.95759678,0.68979609,2.971517563,11.48041058,0.639822543,3.427078009,15.37191486
445.0700073,0.333003104,1.232814908,5.760624409,0.395133287,2.314814806,11.8068409,0.531707168,2.65923667,11.20828438,0.542196691,2.719161749,7.99371767,0.789043069,2.855414629,10.44187832,0.555191875,2.837280989,12.1680212,0.765071511,3.283919573,13.7615881,0.729382813,4.379846096,16.00717163,0.747660399,4.183047771,16.83535194,0.674481571,3.512373209,13.32502079,0.630054474,3.211432219,13.54610252,0.964199603,3.132815361,13.7027874
446,0.377859145,1.298256636,5.577387333,0.447737217,2.656811237,9.719675064,0.753055215,2.612481833,10.37618732,0.596354485,2.795086384,8.202337265,0.764634013,3.014919996,12.64828491,0.704703689,2.46428442,11.21762562,0.844160914,3.436244726,14.36268139,0.940180957,4.672213078,16.36251259,0.795565128,3.832782984,16.18313408,0.89257896,4.408325195,14.11348057,0.921024323,2.915037394,12.96754456,1.119198918,4.119905949,13.5214386
447.0700073,0.42358163,1.272914171,5.524269104,0.807835221,1.857721925,8.809891701,0.704126179,2.804273844,11.08290195,0.542204499,2.927314997,8.155169487,0.547276199,3.447635889,11.02848721,0.549244821,2.899641991,11.02941227,1.01612258,4.146660805,14.65935421,0.963129461,4.819570065,16.74072266,1.04022193,4.502863884,17.60271645,0.664904952,3.780451775,15.44715977,0.786672056,3.791519165,13.25321388,0.788477719,3.856822968,15.22707272
448,0.404363662,1.570384145,5.771158695,0.547144234,3.047094822,10.04430389,0.745025456,3.223080397,10.88106632,0.678384185,3.048820257,8.352071762,0.87333256,2.705482006,10.91172314,0.541200995,2.822588682,11.87328911,1.189887643,3.896951675,14.72637081,0.975419402,4.669859409,18.78954506,0.903773248,5.330245018,18.77791786,0.565501034,4.438497066,16.19127464,1.183800101,4.685714245,14.61404324,1.007561088,4.343836308,15.99620819
